Date,Time,Type,Strike,Open_5m
2025-01-04,12:25,PE,21400,60.4
2025-01-04,12:25,PE,21500,67.55
2025-01-04,12:25,PE,21600,72.1
2025-01-04,12:25,PE,21700,77.5
2025-01-04,12:25,PE,21800,85.95
2025-01-04,12:25,PE,21900,96.2
2025-01-04,12:25,PE,22000,109.15
2025-01-04,12:25,PE,22100,116.3
2025-01-04,12:25,PE,22150,122.4
2025-01-04,12:25,PE,22200,130.8
2025-01-04,12:25,PE,22300,144.95
2025-01-04,12:25,PE,22400,162.0
2025-01-04,12:25,PE,22500,182.4
2025-01-04,12:25,PE,22600,201.05
2025-01-04,12:25,PE,22650,210.45
2025-01-04,12:25,PE,22700,222.15
2025-01-04,12:25,PE,22800,248.45
2025-01-04,12:25,PE,22900,270.6
2025-01-04,12:25,PE,22950,287.65
2025-01-04,12:25,PE,23000,303.25
2025-01-04,12:25,PE,23100,332.7
2025-01-04,12:25,PE,23200,367.05
2025-01-04,12:25,PE,23300,405.3
2025-01-04,12:25,PE,23400,442.65
2025-01-04,12:25,PE,23500,488.4
2025-01-04,12:25,PE,23600,531.65
2025-01-04,12:25,PE,23650,550.85
2025-01-04,12:25,PE,23850,655.55
2025-01-04,12:25,PE,23900,684.2
2025-01-04,12:25,PE,24000,756.45
2025-01-04,12:25,PE,24300,970.1
2025-01-04,12:25,PE,24500,1111.1
2025-01-04,12:30,CE,22900,872.65
2025-01-04,12:30,CE,23000,784.0
2025-01-04,12:30,CE,23100,723.55
2025-01-04,12:30,CE,23250,629.45
2025-01-04,12:30,CE,23300,600.0
